lemma,upos,doc_count,total_count,mean_count,max_count,category,notes,pos_group,suggested_category_ChatGPT,suggested_category_Claude,notes_Claude,top_subjects,top_objects,top_comps,top_obls,top_noun_roles,top_head_verbs,top_amod,top_compound
video,NOUN+PROPN,80,134,1.675,8,,,NOUN,CREATIVE_ARTIFACT,TECH,,,,,,compound:42 | conj:23 | obj:20 | obl:20 | nmod:12,use:4 | make:3 | create:3 | generate:3 | do:2,own:3 | promotional:2 | generate:2 | recent:1 | short:1,music:4 | YouTube:3 | AI:3 | TikTok:2 | client:2
decision,NOUN+PROPN,75,80,1.066666667,3,,,NOUN,PROCESS_WORKFLOW,PROCESS,,,,,,obj:46 | nmod:14 | compound:7 | nsubj:6 | obl:3,drive:32 | make:13 | decide:1 | help:1 | retain:1,creative:44 | final:2 | create:1 | only:1 | overall:1,design:1 | acting:1
writer,NOUN+PROPN,74,101,1.364864865,3,,,NOUN,WORK_CONTEXT,AGENT,,,,,,root:18 | nsubj:15 | obj:13 | obl:13 | conj:9,use:4 | make:3 | block:2 | need:2 | pay:2,good:6 | human:5 | creative:3 | freelance:3 | most:2,content:2 | ghost:1 | assistant:1 | minority:1 | blog:1
book,NOUN+PROPN,73,125,1.712328767,10,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,work:1 | project:1 | this:1,package:1,,,obj:50 | nmod:22 | obl:21 | compound:15 | conj:8,write:15 | use:5 | churn:4 | read:3 | have:3,publish:3 | few:2 | physical:2 | other:2 | current:2,picture:3 | history:2 | activity:2 | coloring:2 | design:1
editing,NOUN+PROPN,73,91,1.246575342,2,,,NOUN,PROCESS_WORKFLOW,PROCESS,,,,,,conj:26 | compound:25 | nmod:14 | obl:13 | obj:6,use:5 | do:3 | edit:1 | brainstorm:1 | be:1,further:2 | traditional:1 | non-linear:1 | substantial:1 | own:1,photo:6 | image:4 | audio:2 | video:1 | line:1
job,NOUN+PROPN,72,89,1.236111111,4,,,NOUN,WORK_CONTEXT,CONTEXT,,,,,,obj:41 | nsubj:13 | obl:11 | nmod:11 | compound:5,do:14 | take:9 | lose:4 | have:3 | exist:2,good:4 | great:4 | first:2 | many:2 | few:2,side:1 | color:1 | editing:1 | illustration:1 | level:1
artist,NOUN+PROPN,70,89,1.271428571,4,,,NOUN,WORK_CONTEXT,AGENT,,,,,,obl:16 | nsubj:14 | nmod:12 | obj:12 | compound:9,replace:4 | take:3 | hire:3 | have:3 | work:2,many:6 | other:3 | human:3 | digital:2 | true:2,commission:1 | fantasy:1 | character:1 | 3d:1 | D:1
client,NOUN+PROPN,69,100,1.449275362,4,,,NOUN,WORK_CONTEXT,CONTEXT,,,,,,obl:27 | nsubj:20 | nmod:18 | compound:15 | obj:9,have:5 | work:3 | get:3 | give:3 | want:3,potential:2 | specific:1 | legal:1 | professional:1 | prospective:1,design:1
information,NOUN+PROPN,62,79,1.274193548,3,,,NOUN,META_RESEARCH,RESOURCE,,,,,,obj:40 | nmod:18 | obl:8 | conj:7 | nsubj:3,present:4 | use:4 | have:3 | ask:3 | put:3,much:4 | more:4 | accurate:2 | general:1 | basic:1,significance:1
bit,NOUN+PROPN,62,70,1.129032258,2,,,NOUN,DISCOURSE_GENERAL,DISCOURSE,Discourse quantifier,,,,,obl:unmarked:34 | obj:19 | obl:5 | conj:4 | nsubj:4,take:5 | save:3 | give:3 | be:3 | have:3,little:6 | good:3 | fair:2 | sharp:1,metal:1
one,NOUN+PROPN,61,69,1.131147541,3,,,NOUN,DISCOURSE_GENERAL,AGENT,,,,,,nsubj:19 | obl:14 | root:8 | obj:8 | conj:5,find:3 | work:2 | have:2 | start:2 | feel:2,first:4 | current:2 | good:2 | right:2 | modern:1,weapon:1 | AI:1 | business:1
year,NOUN+PROPN,61,69,1.131147541,3,,,NOUN,TIME_RESOURCE,RESOURCE,,,,,,obl:30 | obl:unmarked:23 | nmod:7 | obj:2 | nsubj:2,make:3 | work:3 | spend:2 | change:2 | take:2,few:17 | next:16 | last:4 | past:2 | come:2,couple:1 | school:1
point,NOUN+PROPN,58,72,1.24137931,4,,,NOUN,TIME_RESOURCE,DISCOURSE,,it:3 | they:1 | that:1 | we:1 | AI:1,detail:1 | I:1 | something:1 | some:1 | error:1,have:1,direction:2 | resource:1 | AI:1 | setting:1,obl:34 | obj:22 | nsubj:5 | compound:2 | root:2,use:7 | give:4 | get:4 | be:3 | take:2,various:1 | whole:1 | geographic:1 | key:1 | solid:1,starting:9 | pain:3 | plot:2 | bullet:2 | number:1
task,NOUN+PROPN,56,69,1.232142857,3,,,NOUN,PROCESS_WORKFLOW,PROCESS,,I:3 | which:1 | this:1,,,,obl:29 | obj:17 | nmod:7 | nsubj:6 | conj:5,use:10 | handle:4 | spend:3 | do:3 | help:2,creative:8 | administrative:6 | technical:3 | more:3 | mundane:2,admin:6 | photoshop:1 | planning:1 | function:1 | publishing:1
concern,NOUN+PROPN,56,67,1.196428571,3,,,NOUN,,DISCOURSE,,that:4 | this:3 | privacy:1,I:3,see:1 | go:1,field:1,obj:27 | nsubj:14 | nsubj:outer:10 | nmod:6 | root:3,have:26 | be:5 | become:4 | exist:1 | result:1,main:5 | huge:2 | only:2 | other:2 | big:2,
media,NOUN+PROPN,56,65,1.160714286,3,,,NOUN,,ARTIFACT,,,,,,compound:30 | nmod:13 | obl:8 | conj:6 | obj:4,create:3 | change:1 | read:1 | start:1 | manage:1,social:37 | digital:2 | other:1,legacy:1
aspect,NOUN+PROPN,56,60,1.071428571,2,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,,,,,obl:24 | obj:21 | nsubj:7 | nmod:4 | nsubj:outer:2,use:5 | change:4 | focus:3 | have:3 | expand:2,creative:6 | technical:4 | favorite:2 | big:2 | non-creative:1,editing:2 | brainstorming:1 | suggestion:1 | proofreading:1 | picture:1
style,NOUN+PROPN,55,80,1.454545455,7,,,NOUN,CREATIVE_CONCEPT,CONCEPT,Creative style or manner of doing,they:1 | it:1 | that:1,hair:1,,,obj:28 | conj:16 | obl:11 | nmod:8 | compound:6,have:4 | use:3 | replicate:2 | develop:1 | learn:1,different:3 | certain:3 | own:2 | aesthetical:2 | distinctive:2,writing:4 | choreography:2 | painting:1 | ghibli:1 | thumbnail:1
word,NOUN+PROPN,53,67,1.264150943,3,,,NOUN,,ARTIFACT,,,message:1,,buyer:1 | item:1,obj:27 | obl:14 | compound:9 | nmod:7 | conj:4,change:4 | get:4 | write:4 | find:4 | use:3,right:5 | correct:2 | thematic:1 | own:1 | other:1,master:1
novel,NOUN+PROPN,52,72,1.384615385,3,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,,,,,obj:25 | obl:19 | nmod:13 | nsubj:6 | appos:4,write:9 | work:5 | draft:5 | use:3 | read:3,first:6 | whole:1 | entire:1 | second:1 | generate:1,length:2 | thriller:2 | fantasy:2 | form:1 | debut:1
day,NOUN+PROPN,52,69,1.326923077,5,,,NOUN,TIME_RESOURCE,RESOURCE,,,,,,obl:unmarked:24 | obl:18 | nmod:14 | compound:6 | conj:3,be:3 | go:3 | do:3 | replace:2 | spend:2,next:2 | single:1 | early:1 | most:1 | multiple:1,hour:2
piece,NOUN+PROPN,50,60,1.2,4,,,NOUN,,ARTIFACT,,I:1 | it:1,it:1 | idea:1 | part:1,,version:1,obj:23 | obl:18 | nmod:6 | conj:5 | nsubj:5,write:4 | create:3 | generate:2 | use:2 | look:2,finish:3 | creative:3 | handmade:3 | small:2 | short:1,D:2 | art:2 | standalone:1 | moodboard:1 | default:1
brainstorming,NOUN+PROPN,50,53,1.06,2,,,NOUN,PROCESS_WORKFLOW,PROCESS,,,,,,compound:28 | obl:13 | conj:4 | nmod:3 | nsubj:outer:1,use:8 | start:2 | get:1 | involve:1 | come:1,,decision:1
prompt,NOUN+PROPN,49,55,1.12244898,3,,,NOUN,AI_TECH,TECH,,I:2 | search:1 | system:1 | everyone:1 | AI:1,response:1 | state:1 | style:1 | tweak:1 | instruction:1,use:1 | generate:1,generation:1 | question:1,obj:21 | obl:20 | nmod:7 | nsubj:4 | conj:1,create:3 | craft:3 | use:3 | generate:2 | include:2,single:3 | simple:2 | few:2 | right:1 | free:1,journaling:2 | art:2 | system:1 | image:1 | writing:1
use,NOUN+PROPN,48,58,1.208333333,3,,,NOUN,PROCESS_WORKFLOW,PROCESS,,I:462 | AI:14 | we:12 | it:10 | that:10,AI:315 | it:188 | tool:44 | that:24 | model:22,generate:11 | do:6 | write:6 | help:5 | create:3,for:13 | way:13 | writing:12 | example:10 | task:9,obj:15 | obl:14 | nsubj:11 | conj:6 | compound:5,make:6 | require:2 | think:2 | criticize:1 | forbid:1,great:2 | recent:2 | intrigue:2 | main:1 | excessive:1,AI:6 | ease:1
world,NOUN+PROPN,48,57,1.1875,3,,,NOUN,,DISCOURSE,,,,,,obl:19 | compound:16 | nmod:10 | nsubj:4 | obj:4,make:2 | exist:2 | build:1 | demand:1 | occur:1,real:4 | fictional:2 | modern:1 | physical:1 | broad:1,fantasy:2 | AI:1 | art:1 | publishing:1
scene,NOUN+PROPN,47,71,1.510638298,6,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,,,,,obj:25 | obl:12 | nmod:11 | conj:9 | nsubj:8,write:4 | create:3 | take:3 | move:3 | work:2,current:2 | social:2 | creative:1 | virtual:1 | own:1,media:1 | marketing:1 | writing:1 | filming:1
business,NOUN+PROPN,47,66,1.404255319,6,,,NOUN,WORK_CONTEXT,CONTEXT,,,,,,compound:21 | obj:16 | obl:11 | nsubj:7 | nmod:5,make:4 | work:3 | run:2 | want:2 | get:2,small:3 | main:1 | creative:1 | ethical:1 | many:1,service:1 | funeral:1 | monument:1 | legacy:1 | entertainment:1
detail,NOUN+PROPN,47,52,1.106382979,2,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,they:1 | it:1,strategy:1 | process:1,,,obj:18 | obl:16 | nmod:11 | conj:4 | appos:1,add:4 | give:2 | get:2 | bogg:2 | go:2,small:3 | more:3 | specific:2 | sensory:1 | vivid:1,AI:1 | booking:1 | wedding:1 | plot:1
concept,NOUN+PROPN,46,57,1.239130435,6,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,important:1,,,,obj:19 | compound:10 | nmod:9 | obl:9 | conj:6,explain:2 | come:2 | understand:2 | prove:1 | consider:1,initial:3 | basic:3 | own:2 | new:1 | novel:1,character:2 | level:1 | proof:1 | writing:1 | design:1
level,NOUN+PROPN,46,54,1.173913043,4,,,NOUN,TIME_RESOURCE,RESOURCE,,they:1 | AI:1 | it:1 | suggestion:1,some:1 | writing:1,,,obl:15 | obj:14 | compound:8 | conj:5 | nsubj:3,do:4 | have:3 | use:2 | be:2 | involve:2,high:5 | necessary:1 | good:1 | enough:1 | equal:1,surface:5 | difficulty:2 | grade:2 | reading:2 | quality:1
product,NOUN+PROPN,45,61,1.355555556,6,,,NOUN,WORK_CONTEXT,ARTIFACT,Context-dependent: artifact vs result,,,,,obj:17 | nmod:15 | compound:11 | obl:9 | nsubj:4,create:3 | use:2 | sell:2 | add:2 | leave:1,final:10 | finish:3 | real:1 | physical:1 | inferior:1,end:5 | snake:1 | software:1 | tech:1 | work:1
help,NOUN+PROPN,45,51,1.133333333,3,,,NOUN,,PROCESS,,it:52 | AI:43 | that:15 | I:9 | which:6,I:164 | we:7 | they:5 | lot:5 | you:3,create:16 | come:16 | brainstorm:15 | get:13 | write:6,that:9 | research:6 | process:3 | task:2 | stage:2,obj:24 | obl:20 | nsubj:4 | compound:1 | ccomp:1,need:15 | ask:10 | get:5 | reach:2 | have:2,extra:4 | little:2 | more:2 | quick:1 | great:1,brainstorming:1 | hashtag:1
creativity,NOUN+PROPN,44,49,1.113636364,3,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,,,,,obj:20 | nmod:7 | conj:6 | nsubj:5 | obl:4,keep:2 | lose:2 | have:2 | take:2 | replace:1,human:12 | own:4 | more:2 | flawed:1 | amazing:1,AI:1
suggestion,NOUN+PROPN,43,64,1.488372093,5,,,NOUN,PROCESS_WORKFLOW,PROCESS,,,,,,obj:39 | nmod:6 | obl:6 | nsubj:5 | conj:4,make:9 | give:9 | provide:5 | prepare:2 | see:2,great:3 | helpful:2 | more:2 | good:1 | small:1,AI:2 | Grammarly:1
conversation,NOUN+PROPN,43,56,1.302325581,6,,,NOUN,PROCESS_WORKFLOW,PROCESS,,,,,,obj:24 | obl:14 | nmod:8 | nsubj:6 | xcomp:2,have:14 | generate:4 | start:2 | drive:2 | retain:2,long:3 | new:2 | same:1 | brief:1 | original:1,llm:1 | back:1 | AI:1
field,NOUN+PROPN,43,50,1.162790698,3,,,NOUN,WORK_CONTEXT,CONTEXT,,,,,,obl:19 | nmod:17 | obj:6 | nsubj:3 | nsubj:pass:2,enter:2 | create:2 | replace:2 | seem:1 | put:1,creative:11 | certain:2 | specific:1 | homogenous:1 | semantic:1,playing:2 | art:1 | base:1 | marketing:1 | hobby:1
music,NOUN+PROPN,41,65,1.585365854,4,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,,,,,obj:25 | compound:12 | obl:11 | conj:9 | nmod:7,generate:4 | make:3 | compose:3 | write:2 | mix:2,electronic:2 | new:1 | original:1 | own:1 | instrumental:1,background:2 | production:1 | writing:1 | daw:1 | fi:1
topic,NOUN+PROPN,41,51,1.243902439,2,,,NOUN,META_RESEARCH,DISCOURSE,,,,,,nmod:15 | obl:14 | obj:11 | nsubj:5 | compound:2,get:3 | research:2 | cover:2 | digg:1 | expand:1,new:2 | deep:2 | broad:1 | obscure:1 | related:1,history:1 | niche:1 | trend:1 | nonfiction:1
page,NOUN+PROPN,40,49,1.225,3,,,NOUN,,ARTIFACT,,,,,,obl:18 | obj:15 | nmod:7 | conj:4 | compound:3,create:4 | stare:3 | write:2 | have:2 | get:2,blank:5 | multiple:1 | few:1 | messy:1 | social:1,coloring:7 | landing:5 | web:2 | book:1 | amazon:1
kind,NOUN+PROPN,40,48,1.2,3,,,NOUN,DISCOURSE_GENERAL,DISCOURSE,Discourse classifier,,,,,advmod:17 | obj:12 | nsubj:4 | obl:4 | conj:3,do:4 | create:3 | know:2 | get:2 | need:1,particular:1 | same:1 | bad:1 | many:1,drama:1 | scenario:1
sense,NOUN+PROPN,40,46,1.15,2,,,NOUN,,DISCOURSE,,,,,,obj:30 | obl:9 | nmod:3 | advcl:1 | nsubj:1,make:22 | feel:2 | have:2 | give:2 | be:1,typical:1 | general:1 | much:1 | administrative:1 | traditional:1,
end,NOUN+PROPN,40,44,1.1,2,,,NOUN,,DISCOURSE,,I:15 | this:2 | story:1 | one:1 | person:1,,use:4 | create:1 | find:1 | incorporate:1 | get:1,result:2 | batch:2 | 4:1 | product:1 | thing:1,compound:19 | obl:17 | nmod:3 | root:2 | nsubj:1,feel:1 | include:1 | peel:1 | ask:1 | do:1,high:7 | low:2 | back:1,
script,NOUN+PROPN,39,57,1.461538462,4,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,it:2,,,,obj:24 | obl:10 | compound:7 | conj:6 | nmod:6,write:8 | use:2 | get:2 | read:2 | create:2,whole:3 | write:2 | short:2 | tentative:1 | serious:1,spec:3 | AI:2 | page:1 | feature:1 | form:1
result,NOUN+PROPN,39,48,1.230769231,5,,,NOUN,META_RESEARCH,DISCOURSE,,this:2,,,lot:1 | royalty:1,obj:19 | obl:13 | nsubj:10 | nmod:3 | nsubj:outer:1,get:7 | like:3 | have:3 | end:2 | give:2,good:3 | initial:1 | different:1 | more:1 | consistent:1,search:3 | end:3 | quality:1
text,NOUN+PROPN,39,47,1.205128205,2,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,,,,,nmod:15 | obj:12 | compound:7 | obl:6 | nsubj:4,make:2 | become:1 | tweak:1 | extract:1 | create:1,coherent:1 | warp:1 | interesting:1 | unique:1 | finish:1,layering:1 | critique:1 | replacement:1 | AI:1
inspiration,NOUN+PROPN,39,45,1.153846154,3,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,,,,,obj:16 | obl:13 | nmod:6 | conj:6 | compound:3,use:6 | wait:3 | get:3 | give:3 | search:2,human:1 | visual:1 | creative:1,design:2 | AI:1
quality,NOUN+PROPN,39,43,1.102564103,2,,,NOUN,,CONCEPT,,,,,,compound:15 | nmod:7 | nsubj:6 | obj:5 | conj:4,go:2 | see:2 | rewrite:1 | degrade:1 | vary:1,high:4 | enough:1 | meh:1 | irreplacable:1 | human:1,writing:1
voice,NOUN+PROPN,38,57,1.5,7,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,Polysemous: sound vs style vs opinion,I:1 | it:1,,,it:1,obj:21 | compound:12 | obl:7 | nmod:6 | conj:3,have:4 | maintain:3 | sound:2 | use:2 | give:2,own:2 | unique:2 | certain:2 | human:2 | personal:2,AI:7 | brand:1 | sound:1
element,NOUN+PROPN,38,50,1.315789474,4,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,,,,,obj:20 | nmod:8 | conj:7 | obl:5 | nsubj:5,add:3 | create:3 | have:2 | come:2 | rob:1,human:7 | other:3 | important:3 | creative:2 | certain:2,design:4 | background:2 | creativity:1 | fiction:1 | house:1
assistant,NOUN+PROPN,38,45,1.184210526,3,,,NOUN,AI_TECH,TECH,,,,,,obl:11 | nsubj:11 | obj:8 | compound:4 | nmod:4,have:5 | use:3 | find:2 | feel:2 | help:2,personal:2 | true:1 | many:1 | organised:1 | helpful:1,AI:11 | artist:1 | research:1 | admin:1 | writing:1
area,NOUN+PROPN,38,44,1.157894737,3,,,NOUN,,DISCOURSE,,,,,,obl:16 | nmod:8 | obj:7 | root:6 | conj:4,have:2 | help:2 | use:2 | think:2 | save:1,other:5 | specific:3 | many:1 | particular:1 | bountiful:1,subject:1 | inauthenticity:1 | grey:1
author,NOUN+PROPN,36,45,1.25,4,,,NOUN,WORK_CONTEXT,AGENT,,,,,,nmod:11 | nsubj:10 | root:6 | obj:5 | compound:4,have:3 | give:2 | want:2 | help:2 | use:1,independent:3 | other:2 | publish:2 | accomplish:1 | most:1,-genre:1
amount,NOUN+PROPN,36,39,1.083333333,2,,,NOUN,TIME_RESOURCE,RESOURCE,,it:1 | what:1 | downside:1,,,trellis:1,obj:19 | obl:10 | nsubj:5 | root:2 | nmod:1,take:4 | do:3 | feel:2 | involve:2 | spend:2,short:3 | considerable:2 | enormous:2 | huge:2 | large:2,
name,NOUN+PROPN,35,56,1.6,5,,,NOUN,,DISCOURSE,,you:3 | one:1 | it:1 | we:1,it:2 | that:1 | whom:1 | character:1 | bot:1,Caroline:1 | Hamlet:1,,obj:21 | obl:18 | conj:5 | nsubj:3 | nmod:3,have:5 | come:5 | suggest:3 | tell:2 | remember:2,generic:2 | own:2 | fun:1 | perfect:1 | many:1,character:4 | song:3 | business:2 | pen:2 | placeholder:1
