lemma,pos_group,doc_count,total_count,ChatGPT_suggested_category,Claude_suggested_category,Claude_notes,top_clusters,top_subjects,top_objects,top_comps,top_obls,top_noun_roles,top_head_verbs,top_amod,top_compound
way,NOUN,147,171,DISCOURSE_GENERAL,DISCOURSE,"Very generic manner/method; top_head_verbs: use, find, be, change, feel","Fiction writing:59 | Art, design, crafts:42 | Content writing:35",,,,,obl:78 | obj:38 | obl:unmarked:20 | nsubj:13 | conj:6,use:16 | find:12 | be:6 | change:5 | feel:5,different:8 | same:5 | new:4 | easy:4 | only:3,
image,NOUN,144,263,CREATIVE_ARTIFACT,TECH,"Usually visual artifact; top_head_verbs: generate, create, use, get","Art, design, crafts:150 | Mix:55 | Fiction writing:20",,,,,obj:117 | compound:44 | obl:40 | nmod:33 | conj:12,generate:25 | create:16 | use:13 | get:9 | have:6,generate:6 | realistic:4 | good:2 | specific:2 | static:2,reference:4 | AI:4 | stock:4 | quality:3 | 2nd:2
tool,NOUN,140,194,AI_TECH,TECH,,"Art, design, crafts:74 | Audiovisual:50 | Fiction writing:28",,,,,obj:74 | obl:50 | nsubj:20 | nmod:18 | root:11,use:53 | see:9 | have:5 | reach:4 | make:4,useful:6 | more:4 | new:4 | many:4 | different:2,AI:71 | editing:2 | audio:2 | efficiency:1 | reality:1
model,NOUN,128,216,AI_TECH,TECH,"AI model in this context; top_head_verbs: use, ask, give; acts as subject/agent","Fiction writing:63 | Art, design, crafts:55 | Mix:55",,,,,nsubj:72 | obj:51 | obl:29 | iobj:23 | nmod:23,use:25 | ask:18 | give:11 | have:5 | provide:5,different:5 | large:4 | generate:4 | multiple:3 | advanced:2,AI:41 | image:6 | D:4 | text:3 | language:3
example,NOUN,110,136,META_RESEARCH,DISCOURSE,,"Art, design, crafts:53 | Fiction writing:32 | Audiovisual:18",,,,,obl:95 | nmod:15 | obj:10 | nsubj:7 | compound:4,have:13 | use:10 | ask:9 | give:8 | say:4,previous:1 | recent:1 | real:1 | above:1 | different:1,world:2 | desk:1 | textbook:1 | character:1
question,NOUN,105,110,META_RESEARCH,DISCOURSE,,"Fiction writing:36 | Art, design, crafts:34 | Content writing:18",,,,,obj:60 | root:16 | obl:11 | nsubj:7 | conj:4,ask:26 | have:20 | answer:13 | let:4 | sound:3,quick:2 | difficult:2 | more:2 | precise:2 | obscure:1,troubleshooting:1 | workflow:1 | choice:1 | follow:1 | biology:1
research,NOUN,93,129,META_RESEARCH,PROCESS,,"Fiction writing:74 | Art, design, crafts:19 | Content writing:17",I:2 | it:2 | project:1 | which:1 | what:1,thing:2 | what:2 | topic:2 | plan:1 | detail:1,get:1 | save:1,genre:1 | example:1 | sort:1 | own:1,obj:33 | obl:29 | compound:25 | conj:15 | nmod:13,do:17 | use:8 | help:6 | focus:2 | make:2,own:5 | deep:4 | extensive:2 | write:1 | visual:1,AI:3 | market:2 | art:1 | pre-writing:1 | writing:1
content,NOUN,92,128,CREATIVE_ARTIFACT,ARTIFACT,"Creative output; top_head_verbs: create, write, generate","Art, design, crafts:44 | Content writing:40 | Mix:19",,,,,obj:43 | nmod:28 | compound:18 | obl:14 | conj:13,create:16 | write:6 | generate:3 | work:3 | produce:2,write:4 | other:4 | more:3 | generate:2 | cheap:2,video:4 | AI:3 | seo:2 | website:2 | media:2
story,NOUN,88,141,CREATIVE_ARTIFACT,ARTIFACT,,Fiction writing:86 | Mix:21 | Content writing:18,,,,,obj:44 | obl:31 | nmod:25 | compound:14 | conj:10,write:16 | create:4 | tell:4 | go:4 | give:2,short:14 | own:3 | whole:3 | entire:2 | meaningful:1,AI:2 | writing:1 | fiction:1 | micro-:1 | horror:1
art,NOUN,88,130,CREATIVE_ARTIFACT,ARTIFACT,,"Art, design, crafts:69 | Fiction writing:21 | Audiovisual:18",,,,,obj:34 | compound:30 | obl:21 | nmod:17 | nsubj:11,make:11 | create:8 | use:6 | come:3 | do:3,true:4 | generate:4 | real:3 | human:3 | visual:3,concept:7 | AI:5 | placeholder:2 | textile:2 | installation:1
design,NOUN,85,145,CREATIVE_ARTIFACT,ARTIFACT,,"Art, design, crafts:107 | Audiovisual:11 | Content writing:11",I:10 | one:2 | project:2 | who:1 | that:1,logo:3 | image:2 | artwork:2 | layout:1 | map:1,encourage:1 | coordinate:1 | mimic:1,hand:1 | business:1 | bottle:1 | space:1 | all:1,compound:43 | obj:36 | conj:24 | nmod:19 | obl:17,use:4 | make:4 | plan:3 | sketch:3 | put:3,graphic:10 | human:2 | several:2 | mock:1 | basic:1,sound:4 | game:3 | cover:3 | logo:3 | board:2
part,NOUN,84,92,TIME_RESOURCE,RESOURCE,"Generic subset; top_amod: creative, most, fun","Art, design, crafts:34 | Fiction writing:26 | Audiovisual:12",,,,,obj:30 | obl:23 | conj:6 | root:6 | acl:relcl:5,use:5 | do:4 | handle:3 | write:2 | automate:2,creative:8 | most:7 | fun:3 | certain:3 | huge:2,song:1 | writing:1 | filming:1 | thinking:1
character,NOUN,82,146,CREATIVE_ARTIFACT,ARTIFACT,"Fictional entity; top_head_verbs: have, say, ask, base, play","Fiction writing:86 | Art, design, crafts:24 | Content writing:18",,,,,nmod:36 | compound:33 | obj:25 | conj:19 | obl:12,have:5 | say:3 | ask:2 | base:2 | play:2,main:8 | particular:2 | support:2 | popular:2 | various:1,background:2 | side:1 | player:1 | Disney:1 | D:1
etc.,NOUN,81,86,UNCLEAR,DISCOURSE,,"Art, design, crafts:28 | Fiction writing:21 | Content writing:16",,,,,conj:86,write:2 | do:1 | finish:1 | have:1 | brainstorm:1,,
video,NOUN,80,134,CREATIVE_ARTIFACT,TECH,,"Art, design, crafts:52 | Audiovisual:25 | Fiction writing:25",,,,,compound:42 | conj:23 | obj:20 | obl:20 | nmod:12,use:4 | make:3 | create:3 | generate:3 | do:2,own:3 | promotional:2 | generate:2 | recent:1 | short:1,music:4 | YouTube:3 | AI:3 | TikTok:2 | client:2
decision,NOUN,75,80,PROCESS_WORKFLOW,PROCESS,,"Fiction writing:28 | Art, design, crafts:19 | Content writing:14",,,,,obj:46 | nmod:14 | compound:7 | nsubj:6 | obl:3,drive:32 | make:13 | decide:1 | help:1 | retain:1,creative:44 | final:2 | create:1 | only:1 | overall:1,design:1 | acting:1
writer,NOUN,74,101,WORK_CONTEXT,AGENT,,Fiction writing:64 | Content writing:22 | Mix:9,,,,,root:18 | nsubj:15 | obj:13 | obl:13 | conj:9,use:4 | make:3 | block:2 | need:2 | pay:2,good:6 | human:5 | creative:3 | freelance:3 | most:2,content:2 | ghost:1 | assistant:1 | minority:1 | blog:1
book,NOUN,73,125,CREATIVE_ARTIFACT,ARTIFACT,,Fiction writing:83 | Mix:16 | Content writing:15,,,,,obj:50 | nmod:22 | obl:21 | compound:15 | conj:8,write:15 | use:5 | churn:4 | read:3 | have:3,publish:3 | few:2 | physical:2 | other:2 | current:2,picture:3 | history:2 | activity:2 | coloring:2 | design:1
editing,NOUN,73,91,PROCESS_WORKFLOW,PROCESS,,"Art, design, crafts:28 | Fiction writing:27 | Content writing:18",,,,,conj:26 | compound:25 | nmod:14 | obl:13 | obj:6,use:5 | do:3 | edit:1 | brainstorm:1 | be:1,further:2 | traditional:1 | non-linear:1 | substantial:1 | own:1,photo:6 | image:4 | audio:2 | video:1 | line:1
job,NOUN,72,89,WORK_CONTEXT,CONTEXT,,"Art, design, crafts:27 | Fiction writing:19 | Content writing:17",,,,,obj:41 | nsubj:13 | obl:11 | nmod:11 | compound:5,do:14 | take:9 | lose:4 | have:3 | exist:2,good:4 | great:4 | first:2 | many:2 | few:2,side:1 | color:1 | editing:1 | illustration:1 | level:1
artist,NOUN,70,89,WORK_CONTEXT,AGENT,,"Art, design, crafts:49 | Audiovisual:18 | Mix:11",,,,,obl:16 | nsubj:14 | nmod:12 | obj:12 | compound:9,replace:4 | take:3 | hire:3 | have:3 | work:2,many:6 | other:3 | human:3 | digital:2 | true:2,commission:1 | fantasy:1 | character:1 | 3d:1 | D:1
client,NOUN,69,100,WORK_CONTEXT,CONTEXT,,"Art, design, crafts:37 | Content writing:22 | Audiovisual:18",,,,,obl:27 | nsubj:20 | nmod:18 | compound:15 | obj:9,have:5 | work:3 | get:3 | give:3 | want:3,potential:2 | specific:1 | legal:1 | professional:1 | prospective:1,design:1
information,NOUN,62,79,META_RESEARCH,RESOURCE,,"Fiction writing:24 | Art, design, crafts:21 | Content writing:13",,,,,obj:40 | nmod:18 | obl:8 | conj:7 | nsubj:3,present:4 | use:4 | have:3 | ask:3 | put:3,much:4 | more:4 | accurate:2 | general:1 | basic:1,significance:1
bit,NOUN,62,70,DISCOURSE_GENERAL,DISCOURSE,"Discourse quantifier; similar to ""lot""","Content writing:23 | Art, design, crafts:17 | Mix:14",,,,,obl:unmarked:34 | obj:19 | obl:5 | conj:4 | nsubj:4,take:5 | save:3 | give:3 | be:3 | have:3,little:6 | good:3 | fair:2 | sharp:1,metal:1
one,NOUN,61,69,DISCOURSE_GENERAL,AGENT,,"Art, design, crafts:22 | Fiction writing:22 | Content writing:11",,,,,nsubj:19 | obl:14 | root:8 | obj:8 | conj:5,find:3 | work:2 | have:2 | start:2 | feel:2,first:4 | current:2 | good:2 | right:2 | modern:1,weapon:1 | AI:1 | business:1
year,NOUN,61,69,TIME_RESOURCE,RESOURCE,,"Art, design, crafts:28 | Fiction writing:19 | Content writing:11",,,,,obl:30 | obl:unmarked:23 | nmod:7 | obj:2 | nsubj:2,make:3 | work:3 | spend:2 | change:2 | take:2,few:17 | next:16 | last:4 | past:2 | come:2,couple:1 | school:1
point,NOUN,58,72,TIME_RESOURCE,DISCOURSE,,"Fiction writing:5 | Content writing:3 | Art, design, crafts:1",it:3 | they:1 | that:1 | we:1 | AI:1,detail:1 | I:1 | something:1 | some:1 | error:1,have:1,direction:2 | resource:1 | AI:1 | setting:1,obl:34 | obj:22 | nsubj:5 | compound:2 | root:2,use:7 | give:4 | get:4 | be:3 | take:2,various:1 | whole:1 | geographic:1 | key:1 | solid:1,starting:9 | pain:3 | plot:2 | bullet:2 | number:1
task,NOUN,56,69,PROCESS_WORKFLOW,PROCESS,,"Art, design, crafts:27 | Audiovisual:17 | Fiction writing:13",,,,,obl:29 | obj:17 | nmod:7 | nsubj:6 | conj:5,use:10 | handle:4 | spend:3 | do:3 | help:2,creative:8 | administrative:6 | technical:3 | more:3 | mundane:2,admin:6 | photoshop:1 | planning:1 | function:1 | publishing:1
concern,NOUN,56,67,UNCLEAR,DISCOURSE,"Discourse noun; top_head_verbs: have(26), be(5); ""have concerns""","Art, design, crafts:23 | Fiction writing:19 | Content writing:12",,,,,obj:27 | nsubj:14 | nsubj:outer:10 | nmod:6 | root:3,have:26 | be:5 | become:4 | exist:1 | result:1,main:5 | huge:2 | only:2 | other:2 | big:2,
media,NOUN,56,65,UNCLEAR,ARTIFACT,"Usually ""social media""; top_amod: social(37)","Art, design, crafts:34 | Fiction writing:11 | Mix:8",,,,,compound:30 | nmod:13 | obl:8 | conj:6 | obj:4,create:3 | change:1 | read:1 | start:1 | manage:1,social:37 | digital:2 | other:1,legacy:1
aspect,NOUN,56,60,UNCLEAR,CONCEPT,"Conceptual; top_head_verbs: use, change, focus; top_amod: creative, technical","Art, design, crafts:20 | Fiction writing:20 | Content writing:9",,,,,obl:24 | obj:21 | nsubj:7 | nmod:4 | nsubj:outer:2,use:5 | change:4 | focus:3 | have:3 | expand:2,creative:6 | technical:4 | favorite:2 | big:2 | non-creative:1,editing:2 | brainstorming:1 | suggestion:1 | proofreading:1 | picture:1
style,NOUN,55,80,CREATIVE_CONCEPT,CONCEPT,"Creative manner; top_head_verbs: have, develop","Content writing:31 | Art, design, crafts:17 | Fiction writing:16",,,,,obj:28 | conj:16 | obl:11 | nmod:8 | compound:6,have:4 | use:3 | replicate:2 | develop:1 | learn:1,different:3 | certain:3 | own:2 | aesthetical:2 | distinctive:2,writing:4 | choreography:2 | painting:1 | ghibli:1 | thumbnail:1
word,NOUN,53,67,UNCLEAR,ARTIFACT,"Artifact/linguistic unit; top_head_verbs: change, get, write, find",Fiction writing:25 | Content writing:18 | Mix:10,,,,,obj:27 | obl:14 | compound:9 | nmod:7 | conj:4,change:4 | get:4 | write:4 | find:4 | use:3,right:5 | correct:2 | thematic:1 | own:1 | other:1,master:1
novel,NOUN,52,72,CREATIVE_ARTIFACT,ARTIFACT,,Fiction writing:63 | Content writing:5 | Mix:3,,,,,obj:25 | obl:19 | nmod:13 | nsubj:6 | appos:4,write:9 | work:5 | draft:5 | use:3 | read:3,first:6 | whole:1 | entire:1 | second:1 | generate:1,length:2 | thriller:2 | fantasy:2 | form:1 | debut:1
day,NOUN,52,69,TIME_RESOURCE,RESOURCE,,"Art, design, crafts:23 | Content writing:18 | Fiction writing:13",,,,,obl:unmarked:24 | obl:18 | nmod:14 | compound:6 | conj:3,be:3 | go:3 | do:3 | replace:2 | spend:2,next:2 | single:1 | early:1 | most:1 | multiple:1,hour:2
piece,NOUN,50,60,UNCLEAR,ARTIFACT,"Artifact; top_head_verbs: write, create, generate","Art, design, crafts:23 | Fiction writing:13 | Audiovisual:11",,,,,obj:23 | obl:18 | nmod:6 | conj:5 | nsubj:5,write:4 | create:3 | generate:2 | use:2 | look:2,finish:3 | creative:3 | handmade:3 | small:2 | short:1,D:2 | art:2 | standalone:1 | moodboard:1 | default:1
brainstorming,NOUN,50,53,PROCESS_WORKFLOW,PROCESS,,"Fiction writing:21 | Art, design, crafts:13 | Audiovisual:9",,,,,compound:28 | obl:13 | conj:4 | nmod:3 | nsubj:outer:1,use:8 | start:2 | get:1 | involve:1 | come:1,,decision:1
prompt,NOUN,49,55,AI_TECH,TECH,,"Art, design, crafts:21 | Mix:17 | Content writing:8",I:2 | search:1 | system:1 | everyone:1 | AI:1,response:1 | state:1 | style:1 | tweak:1 | instruction:1,use:1 | generate:1,generation:1 | question:1,obj:21 | obl:20 | nmod:7 | nsubj:4 | conj:1,create:3 | craft:3 | use:3 | generate:2 | include:2,single:3 | simple:2 | few:2 | right:1 | free:1,journaling:2 | art:2 | system:1 | image:1 | writing:1
use,NOUN,48,58,UNCLEAR,PROCESS,"Process noun; from verb nominalization; top_amod: great, recent","Art, design, crafts:317 | Fiction writing:254 | Content writing:144",I:462 | AI:14 | we:12 | it:10 | that:10,AI:315 | it:188 | tool:44 | that:24 | model:22,generate:11 | do:6 | write:6 | help:5 | create:3,for:13 | way:13 | writing:12 | example:10 | task:9,obj:15 | obl:14 | nsubj:11 | conj:6 | compound:5,make:6 | require:2 | think:2 | criticize:1 | forbid:1,great:2 | recent:2 | intrigue:2 | main:1 | excessive:1,AI:6 | ease:1
world,NOUN,48,57,UNCLEAR,DISCOURSE,"Context/setting; top_amod: real, fictional","Fiction writing:23 | Art, design, crafts:13 | Content writing:9",,,,,obl:19 | compound:16 | nmod:10 | nsubj:4 | obj:4,make:2 | exist:2 | build:1 | demand:1 | occur:1,real:4 | fictional:2 | modern:1 | physical:1 | broad:1,fantasy:2 | AI:1 | art:1 | publishing:1
scene,NOUN,47,71,CREATIVE_ARTIFACT,ARTIFACT,,"Fiction writing:40 | Art, design, crafts:13 | Mix:9",,,,,obj:25 | obl:12 | nmod:11 | conj:9 | nsubj:8,write:4 | create:3 | take:3 | move:3 | work:2,current:2 | social:2 | creative:1 | virtual:1 | own:1,media:1 | marketing:1 | writing:1 | filming:1
business,NOUN,47,66,WORK_CONTEXT,CONTEXT,,"Art, design, crafts:29 | Mix:14 | Content writing:11",,,,,compound:21 | obj:16 | obl:11 | nsubj:7 | nmod:5,make:4 | work:3 | run:2 | want:2 | get:2,small:3 | main:1 | creative:1 | ethical:1 | many:1,service:1 | funeral:1 | monument:1 | legacy:1 | entertainment:1
detail,NOUN,47,52,UNCLEAR,ARTIFACT,"Artifact element; top_head_verbs: add, give, get","Fiction writing:21 | Art, design, crafts:14 | Mix:8",,,,,obj:18 | obl:16 | nmod:11 | conj:4 | appos:1,add:4 | give:2 | get:2 | bogg:2 | go:2,small:3 | more:3 | specific:2 | sensory:1 | vivid:1,AI:1 | booking:1 | wedding:1 | plot:1
concept,NOUN,46,57,CREATIVE_CONCEPT,CONCEPT,,"Art, design, crafts:27 | Fiction writing:19 | Content writing:5",,,,,obj:19 | compound:10 | nmod:9 | obl:9 | conj:6,explain:2 | come:2 | understand:2 | prove:1 | consider:1,initial:3 | basic:3 | own:2 | new:1 | novel:1,character:2 | level:1 | proof:1 | writing:1 | design:1
level,NOUN,46,54,TIME_RESOURCE,RESOURCE,,"Art, design, crafts:19 | Content writing:17 | Audiovisual:8",,,,,obl:15 | obj:14 | compound:8 | conj:5 | nsubj:3,do:4 | have:3 | use:2 | be:2 | involve:2,high:5 | necessary:1 | good:1 | enough:1 | equal:1,surface:5 | difficulty:2 | grade:2 | reading:2 | quality:1
product,NOUN,45,61,WORK_CONTEXT,ARTIFACT,Output/artifact; context-dependent,"Art, design, crafts:27 | Content writing:16 | Mix:9",,,,,obj:17 | nmod:15 | compound:11 | obl:9 | nsubj:4,create:3 | use:2 | sell:2 | add:2 | leave:1,final:10 | finish:3 | real:1 | physical:1 | inferior:1,end:5 | snake:1 | software:1 | tech:1 | work:1
help,NOUN,45,51,UNCLEAR,PROCESS,"Process noun; top_head_verbs: need, ask, get","Art, design, crafts:109 | Fiction writing:107 | Content writing:53",it:52 | AI:43 | that:15 | I:9 | which:6,I:164 | we:7 | they:5 | lot:5 | you:3,create:16 | come:16 | brainstorm:15 | get:13 | write:6,that:9 | research:6 | process:3 | task:2 | stage:2,obj:24 | obl:20 | nsubj:4 | compound:1 | ccomp:1,need:15 | ask:10 | get:5 | reach:2 | have:2,extra:4 | little:2 | more:2 | quick:1 | great:1,brainstorming:1 | hashtag:1
creativity,NOUN,44,49,CREATIVE_CONCEPT,CONCEPT,,"Art, design, crafts:21 | Content writing:10 | Fiction writing:9",,,,,obj:20 | nmod:7 | conj:6 | nsubj:5 | obl:4,keep:2 | lose:2 | have:2 | take:2 | replace:1,human:12 | own:4 | more:2 | flawed:1 | amazing:1,AI:1
suggestion,NOUN,43,64,PROCESS_WORKFLOW,PROCESS,,"Fiction writing:24 | Art, design, crafts:17 | Content writing:13",,,,,obj:39 | nmod:6 | obl:6 | nsubj:5 | conj:4,make:9 | give:9 | provide:5 | prepare:2 | see:2,great:3 | helpful:2 | more:2 | good:1 | small:1,AI:2 | Grammarly:1
conversation,NOUN,43,56,PROCESS_WORKFLOW,PROCESS,,"Fiction writing:25 | Art, design, crafts:16 | Mix:7",,,,,obj:24 | obl:14 | nmod:8 | nsubj:6 | xcomp:2,have:14 | generate:4 | start:2 | drive:2 | retain:2,long:3 | new:2 | same:1 | brief:1 | original:1,llm:1 | back:1 | AI:1
field,NOUN,43,50,WORK_CONTEXT,CONTEXT,,"Art, design, crafts:23 | Fiction writing:15 | Audiovisual:5",,,,,obl:19 | nmod:17 | obj:6 | nsubj:3 | nsubj:pass:2,enter:2 | create:2 | replace:2 | seem:1 | put:1,creative:11 | certain:2 | specific:1 | homogenous:1 | semantic:1,playing:2 | art:1 | base:1 | marketing:1 | hobby:1
music,NOUN,41,65,CREATIVE_ARTIFACT,ARTIFACT,,"Audiovisual:51 | Art, design, crafts:5 | Fiction writing:4",,,,,obj:25 | compound:12 | obl:11 | conj:9 | nmod:7,generate:4 | make:3 | compose:3 | write:2 | mix:2,electronic:2 | new:1 | original:1 | own:1 | instrumental:1,background:2 | production:1 | writing:1 | daw:1 | fi:1
topic,NOUN,41,51,META_RESEARCH,DISCOURSE,,"Fiction writing:17 | Art, design, crafts:13 | Content writing:9",,,,,nmod:15 | obl:14 | obj:11 | nsubj:5 | compound:2,get:3 | research:2 | cover:2 | digg:1 | expand:1,new:2 | deep:2 | broad:1 | obscure:1 | related:1,history:1 | niche:1 | trend:1 | nonfiction:1
page,NOUN,40,49,UNCLEAR,ARTIFACT,"Artifact; top_compound: coloring, landing, web, book","Art, design, crafts:18 | Content writing:17 | Fiction writing:7",,,,,obl:18 | obj:15 | nmod:7 | conj:4 | compound:3,create:4 | stare:3 | write:2 | have:2 | get:2,blank:5 | multiple:1 | few:1 | messy:1 | social:1,coloring:7 | landing:5 | web:2 | book:1 | amazon:1
kind,NOUN,40,48,DISCOURSE_GENERAL,DISCOURSE,Discourse classifier,"Fiction writing:19 | Art, design, crafts:13 | Content writing:6",,,,,advmod:17 | obj:12 | nsubj:4 | obl:4 | conj:3,do:4 | create:3 | know:2 | get:2 | need:1,particular:1 | same:1 | bad:1 | many:1,drama:1 | scenario:1
sense,NOUN,40,46,UNCLEAR,DISCOURSE,"Discourse; mostly ""make sense""; top_head_verbs: make(22)","Art, design, crafts:16 | Fiction writing:14 | Content writing:8",,,,,obj:30 | obl:9 | nmod:3 | advcl:1 | nsubj:1,make:22 | feel:2 | have:2 | give:2 | be:1,typical:1 | general:1 | much:1 | administrative:1 | traditional:1,
end,NOUN,40,44,UNCLEAR,DISCOURSE,Discourse; temporal/completion marker,"Fiction writing:14 | Art, design, crafts:13 | Audiovisual:7",I:15 | this:2 | story:1 | one:1 | person:1,,use:4 | create:1 | find:1 | incorporate:1 | get:1,result:2 | batch:2 | 4:1 | product:1 | thing:1,compound:19 | obl:17 | nmod:3 | root:2 | nsubj:1,feel:1 | include:1 | peel:1 | ask:1 | do:1,high:7 | low:2 | back:1,
script,NOUN,39,57,CREATIVE_ARTIFACT,ARTIFACT,,Fiction writing:25 | Audiovisual:14 | Mix:10,,,,,obj:24 | obl:10 | compound:7 | conj:6 | nmod:6,write:8 | use:2 | get:2 | read:2 | create:2,whole:3 | write:2 | short:2 | tentative:1 | serious:1,spec:3 | AI:2 | page:1 | feature:1 | form:1
result,NOUN,39,48,META_RESEARCH,DISCOURSE,,"Art, design, crafts:14 | Content writing:14 | Fiction writing:8",,,,,obj:19 | obl:13 | nsubj:10 | nmod:3 | nsubj:outer:1,get:7 | like:3 | have:3 | end:2 | give:2,good:3 | initial:1 | different:1 | more:1 | consistent:1,search:3 | end:3 | quality:1
text,NOUN,39,47,CREATIVE_ARTIFACT,ARTIFACT,,"Fiction writing:17 | Art, design, crafts:15 | Content writing:8",,,,,nmod:15 | obj:12 | compound:7 | obl:6 | nsubj:4,make:2 | become:1 | tweak:1 | extract:1 | create:1,coherent:1 | warp:1 | interesting:1 | unique:1 | finish:1,layering:1 | critique:1 | replacement:1 | AI:1
inspiration,NOUN,39,45,CREATIVE_CONCEPT,CONCEPT,,"Art, design, crafts:24 | Fiction writing:9 | Audiovisual:4",,,,,obj:16 | obl:13 | nmod:6 | conj:6 | compound:3,use:6 | wait:3 | get:3 | give:3 | search:2,human:1 | visual:1 | creative:1,design:2 | AI:1
quality,NOUN,39,43,UNCLEAR,CONCEPT,Concept; top_compound: writing; top_amod: high,Fiction writing:14 | Mix:11 | Content writing:9,,,,,compound:15 | nmod:7 | nsubj:6 | obj:5 | conj:4,go:2 | see:2 | rewrite:1 | degrade:1 | vary:1,high:4 | enough:1 | meh:1 | irreplacable:1 | human:1,writing:1
voice,NOUN,38,57,CREATIVE_ARTIFACT,ARTIFACT,"Polysemous: sound vs style vs opinion; top_head_verbs: have, use, find",Fiction writing:33 | Mix:11 | Content writing:5,,,,,obj:21 | compound:12 | obl:7 | nmod:6 | conj:3,have:4 | maintain:3 | sound:2 | use:2 | give:2,own:2 | unique:2 | certain:2 | human:2 | personal:2,AI:7 | brand:1 | sound:1
